Contrast,Correlation,Energy,Homogeneity,meanR,meanG,meanB,meanH,meanS,meanV,meanY,meanCb,meanCr,meanL,meanLA,meanLB,meanGray,Class
2.229135101,0.241091286,0.289096411,0.799499083,150.8787879,80.97979798,74.19191919,0.014545872,0.491438898,0.591681521,102.7676768,114.6363636,159.1919192,42.55534707,28.05058942,16.91258559,101.0606061,1
1.438194444,0.549344987,0.268325135,0.831757606,150.7222222,80.87037037,66.38888889,0.028024364,0.54982167,0.591067538,101.962963,111.3518519,159.7592593,42.33043653,27.38679304,21.28918393,100.0740741,1
2.141823308,0.741935418,0.315996692,0.824973557,155.16,88.81,81.41333333,0.025037364,0.417094891,0.608470588,108.5866667,114.8766667,157.6933333,44.80845616,25.68740608,15.79277969,107.8166667,1
2.974707602,0.605828322,0.309452092,0.864325997,165.1894737,99.10263158,92.87894737,0.025560514,0.402380271,0.647801858,117.4921053,115.5578947,157.4763158,48.73520039,25.41087933,14.68429894,118.1684211,1
2.247957451,0.823537763,0.151878678,0.847582161,139.2114286,81.27,77.88285714,0.152776329,0.345886816,0.545927171,100.3385714,117.9357143,153.6642857,40.60204752,22.64712376,11.98371589,98.20714286,1
1.630321558,0.840209778,0.331356982,0.863220382,148.4044118,86.45098039,90.21568627,0.670467793,0.358975033,0.581978085,106.5343137,120.4411765,154.9240196,43.49713841,25.21599009,8.708224964,105.4142157,1
2.271040912,0.807041926,0.153288057,0.834937174,124.8866667,67.65666667,68.29,0.432533563,0.352448659,0.489751634,88.85833333,119.8683333,153.0783333,35.43958863,23.3184132,10.22789562,84.825,1
2.151537698,0.358549803,0.239765449,0.790522152,178.3174603,99.71428571,108,0.95184813,0.424591903,0.699284158,122.6349206,119.9206349,161.9206349,51.22801049,32.15552254,9.391201066,124.0793651,1
3.157924107,0.276172151,0.782447859,0.912442425,224.3055556,139.4027778,122.9166667,0.025996503,0.433034064,0.87962963,155.8611111,108.1666667,166.3888889,65.87148785,30.11884339,22.18420816,162.9166667,1
3.040816327,0.624328471,0.12991095,0.754075668,206.5619048,100.9666667,92.91904762,0.011088346,0.488994781,0.810046685,129.0238095,108.8,174.947619,55.01988711,39.77518592,24.225877,131.647619,1
2.811395202,0.402810129,0.132171198,0.699132132,208.1759259,97.75,91.4537037,0.04615454,0.511749963,0.81637618,127.7222222,108.8796296,176.9444444,54.7872404,42.02848543,24.64577055,130.0277778,1
1.835714286,0.472140209,0.292721974,0.80103458,233.9375,117.6458333,112.7708333,0.089830391,0.502455064,0.917401961,146.4375,108.625,179.4166667,62.71884585,43.90080555,23.59697086,151.8541667,1
2.686507937,0.06403557,0.259556485,0.803908022,238.7346939,128.7346939,123.5510204,0.008050098,0.478644564,0.936214486,154.3877551,109.4081633,176.6326531,65.77782468,41.22502318,21.85780757,161.0816327,1
1.757575758,0.519512424,0.084720309,0.624400253,172.6875,80.3125,64.79166667,0.023341442,0.61094629,0.677205882,107.2291667,107.4583333,169.7291667,45.61723978,36.10921793,27.19732556,106.2291667,1
1.337673611,0.242602778,0.424492429,0.838765501,232.6222222,140.0222222,117.5555556,0.031912665,0.483832868,0.912244009,157.8666667,104.4666667,170.2444444,67.36272544,32.72817034,26.95978232,165.1111111,1
1.101776961,0.725811449,0.162563959,0.750235907,119.1764706,71.24509804,55.38235294,0.040802662,0.534094314,0.467358708,87.91176471,113.9705882,150.127451,35.35940831,18.54657191,18.06557541,83.78431373,1
1.721938527,0.707196886,0.086688636,0.738260858,93.5628655,51.09356725,38.43859649,0.03406646,0.511087137,0.366918931,69.55409357,116.121345,147.5570175,26.4410206,17.17858735,15.90495042,62.3377193,1
0.864831217,0.786374478,0.657369243,0.934040039,99.04278075,53.85561497,39.29946524,0.039297369,0.583697875,0.388403062,72.37433155,114.9465241,149.0962567,27.92333275,18.43112909,17.73614645,65.57219251,1
2.244588745,0.674221058,0.172069066,0.802383347,114.7926136,66.29829545,53.46022727,0.031597037,0.476986453,0.450167112,84.11647727,115.1477273,150.2272727,33.52446722,19.042712,16.45919223,79.34375,1
2.314664502,0.55863062,0.166371088,0.705575096,128.4880952,83.83333333,72.21428571,0.032128056,0.407345146,0.503874883,98.29761905,116.3095238,148.5,40.04933037,16.83932304,14.20844194,95.78571429,1
2.806662088,0.718388456,0.274595653,0.834097522,139.9641026,96.66666667,86.78974359,0.026866545,0.322116806,0.548878834,109.1589744,117.2923077,147.7282051,44.77311542,15.72922872,12.31767716,108.4717949,1
1.819523702,0.727841397,0.378445992,0.890019979,166.4416667,111.93,107.2383333,0.017330551,0.320699913,0.652712418,125.6633333,117.9166667,152.295,52.28947917,20.56373013,11.29310261,127.6816667,1
2.013161147,0.828726757,0.201729919,0.865515284,129.6591784,88.69512195,82.74582798,0.021106813,0.280234894,0.508467366,102.114249,119.3818999,146.4223363,41.27424786,15.30582263,9.840474474,100.2560976,1
1.958088538,0.585076774,0.321662587,0.882102604,157.1623377,107.8809524,96.65367965,0.028962879,0.364455239,0.616322893,120.2142857,115.7792208,150.478355,50.08054744,17.94942633,14.05556313,121.3463203,1
1.718494152,0.748830821,0.470164452,0.867121573,173.8355263,120.8059211,121.3223684,0.52512205,0.273410423,0.681707946,133.4046053,120.4539474,151.2401316,55.49260256,20.31904943,7.918695935,136.7236842,1
1.895563741,0.867351396,0.266490644,0.85965188,147.1310096,98.53846154,101.7776442,0.701968669,0.251645338,0.576984351,113.4182692,122.2127404,149.1141827,46.04342011,19.10622306,5.963517603,113.4362981,1
1.960515873,0.623345719,0.285127472,0.825425957,174.26,115.5066667,124.24,0.92327666,0.319193596,0.683372549,131.1866667,123.1533333,153.2133333,54.53421467,23.99067117,4.690550766,134.0933333,1
