Contrast,Correlation,Energy,Homogeneity,meanR,meanG,meanB,meanH,meanS,meanV,meanY,meanCb,meanCr,meanL,meanLA,meanLB,meanGray,Class
2.723125215,0.653438431,0.230801125,0.792687368,166.4427245,108.9195046,109.3498452,0.479208556,0.314889339,0.652716567,124.3900929,119.6934985,153.2260062,51.54837307,22.43070928,9.049687512,126.1981424,1
1.76765873,0.617669635,0.377988421,0.811178351,165.2,111.1857143,108.0428571,0.008881507,0.326040229,0.647843137,125.0714286,118.6428571,151.9285714,52.15119253,20.76125884,10.38179507,126.9142857,1
2.544827279,0.557008458,0.185234271,0.747809087,158.3076923,103.9401709,99.81196581,0.054273635,0.350074436,0.62081448,118.8119658,118.1452991,152.1538462,49.23925745,20.91098182,11.14865833,119.7435897,1
3.593112245,0.248546332,0.789217058,0.913014759,174.015625,116.046875,112.5,0.009471551,0.345542036,0.682414216,130.15625,117.90625,153.734375,54.29653435,22.07429473,11.17377993,132.875,1
1.629774306,0.563653527,0.626809956,0.884683986,174.5555556,117.8888889,113.1481481,0.012699881,0.342773801,0.68453159,131.3209877,117.5185185,153.1851852,54.99156922,21.43222715,11.57804298,134.3580247,1
1.562878788,0.6116045,0.229564968,0.755416667,155.3472222,101.5138889,97.13888889,0.011920653,0.359048458,0.609204793,116.5972222,118.1388889,151.9444444,48.36998026,20.92904115,11.32306681,117.0833333,1
2.405767408,0.796558889,0.156487959,0.825228464,127.9938424,87.61330049,88.70689655,0.510841996,0.260840315,0.501936637,101.6921182,122.4753695,145.66133,41.06382447,16.19723432,5.994134327,99.82142857,1
1.618843371,0.517914544,0.367124556,0.82504474,155.125,110.4513889,111.3819444,0.642855032,0.281767229,0.608333333,122.4166667,121.7708333,147.5902778,50.87476414,17.69139101,6.509105569,123.9027778,1
2.403797689,0.717569563,0.258532461,0.830394376,151.2105263,110.9824561,108.7719298,0.022068589,0.251558988,0.592982456,121.4280702,121.0421053,145.8491228,50.2010636,15.24341299,7.335554633,122.7614035,1
2.845833333,0.751160513,0.308134228,0.793513813,135.2857143,100.9353741,99.52040816,0.110061022,0.221712785,0.530532213,111.3639456,122.2687075,143.1768707,45.34865808,13.06855005,5.959157901,111.0136054,1
3.656887755,0.355958031,0.746381716,0.897070882,161.265625,121.578125,119.96875,0.054115362,0.252878525,0.632414216,130.453125,121.359375,145.4375,54.30125229,14.98264409,6.798289699,133.3125,1
1.294310897,0.811845195,0.295836123,0.862347766,157.7961538,113.5269231,115.6076923,0.746800867,0.260590646,0.618808446,125.0961538,122.3,147.3076923,51.919859,17.49887203,5.714710161,126.9653846,1
1.116266026,0.403171536,0.253828587,0.832667506,128.5692308,89.52307692,86.26153846,0.012702208,0.329951106,0.504193062,102.5692308,120.7538462,145.3384615,41.96150065,15.57396621,8.313504991,100.9538462,1
2.201686106,0.650766092,0.208755702,0.80189631,136.8646617,93.28195489,93.30827068,0.402016955,0.29378709,0.536724163,107.3383459,121.5526316,147.1390977,43.8516506,17.46100398,7.118429813,106.3270677,1
2.211038614,0.783032323,0.118859576,0.799555375,112.7692308,78.3956044,76.7985348,0.012741223,0.2771651,0.442246642,91.98534799,122.1868132,143.2271062,36.5835663,13.7642097,6.541940519,88.49450549,1
3.060119048,0.482302915,0.235536335,0.753323864,155.3376623,116.3116883,112.3636364,0.01512501,0.26477754,0.609167303,125.5324675,120.4805195,145.3896104,52.21149224,14.48576004,8.021795824,127.5454545,1
2.473647186,0.725412925,0.575167157,0.86338474,165.7272727,126.4935065,124.6103896,0.019671176,0.228301922,0.649910873,134.5064935,121.3116883,145.3506494,56.03113993,14.560627,6.751617894,137.974026,1
2.146996279,0.686377994,0.402709963,0.823233027,150.8755981,110.1913876,110.4066986,0.358026115,0.25002084,0.591669012,121.1244019,122.0382775,145.8660287,50.0235033,15.80913449,6.112355629,122.3492823,1
3.123763736,0.661897723,0.235190166,0.802698467,153.9375,112.5982143,113.59375,0.595202195,0.24021348,0.603676471,123.4107143,122.2857143,146.0892857,50.96324024,16.04147414,5.747158212,125.0625,1
2.321853741,0.006015365,0.261677557,0.804697876,181.8571429,136.2142857,134.0892857,0.007220453,0.257371518,0.713165266,144.5178571,120.3035714,148.2321429,60.7432521,16.99161126,7.898995277,149.625,1
5.413628472,0.4876143,0.388253294,0.786986917,158.4320988,121.8271605,120.7530864,0.054370985,0.223629906,0.621302348,129.9382716,122.0617284,144.0740741,53.69017223,13.61741821,5.892150913,132.691358,1
2.02590812,0.251175737,0.484123636,0.894825212,172.0887574,123.2426036,124.0532544,0.5535434,0.285422267,0.674857872,134.4733728,121.1360947,149.3431953,56.24624197,18.96788228,7.087867565,137.9053254,1
1.360121892,0.849498716,0.191970238,0.872474102,125.3387097,87.45046083,88.57603687,0.580221625,0.256942931,0.491524352,100.9412442,122.8502304,144.5852535,40.75238206,15.32141007,5.485361255,98.890553,1
2.165328461,0.810246263,0.246020963,0.791925046,151.1724138,113.0724138,114.8896552,0.716520908,0.214406537,0.592832995,123.0706897,123.1603448,144.6137931,50.56501573,14.73387212,4.694652486,124.6189655,1
